"escala";"get_label(data_part_pol_21_2s_1)";"casos";"media";"ds";"% nunca + casi nunca";"% a veces + frecuentemente"
"part_pol_firma_21b";"Considerando los últimos meses, el segundo semestre de 2021  entre agosto y diciembre ,     Firmar una petición, presencialmente o por internet";932;1.8;1;"70.3%";"29.7%"
"part_pol_marc_pac_21b";"Considerando los últimos meses, el segundo semestre de 2021  entre agosto y diciembre ,     Participar en una marcha o manifestación pacífica";932;1.5;0.9;"80.3%";"19.7%"
"part_pol_marc_dis_21b";"Considerando los últimos meses, el segundo semestre de 2021  entre agosto y diciembre ,     Participar en una marcha o manifestación con disturbios";932;1.3;0.7;"92%";"8%"
"part_pol_fem_21b";"Considerando los últimos meses, el segundo semestre de 2021  entre agosto y diciembre ,     Participar en marchas del movimiento feminista";932;1.4;0.9;"83.6%";"16.4%"
"part_pol_cac_21b";"Considerando los últimos meses, el segundo semestre de 2021  entre agosto y diciembre ,     Participar en cacerolazos";932;1.5;0.9;"79.4%";"20.6%"
"part_pol_cab_21b";"Considerando los últimos meses, el segundo semestre de 2021  entre agosto y diciembre ,     Participar de Cabildos o Asambleas Territoriales";932;1.3;0.7;"90.2%";"9.8%"
"part_pol_camp_21b";"Considerando los últimos meses, el segundo semestre de 2021  entre agosto y diciembre ,     Participar en la campaña de candidatos";932;1.4;0.9;"84.5%";"15.5%"
"part_pol_bloq_21b";"Considerando los últimos meses, el segundo semestre de 2021  entre agosto y diciembre ,     Participar en bloqueo de calles o carreteras";932;1.2;0.5;"96.2%";"3.8%"
"part_pol_rayar_21b";"Considerando los últimos meses, el segundo semestre de 2021  entre agosto y diciembre ,     Pintar o rayar paredes con demandas o consignas";932;1.2;0.5;"96.8%";"3.2%"
"part_pol_toma_21b";"Considerando los últimos meses, el segundo semestre de 2021  entre agosto y diciembre ,     Participar en la toma de un edificio o institución";932;1.1;0.4;"97.4%";"2.6%"
"part_pol_com_21b";"Considerando los últimos meses, el segundo semestre de 2021  entre agosto y diciembre ,     Trabajar como voluntario en servicios a la comunidad";932;1.3;0.8;"85.2%";"14.8%"
"marcha_amig_21b";"Considerando los últimos meses, el segundo semestre de 2021  entre agosto y diciembre ,     Participar en una marcha con mis amigos";932;1.4;0.9;"82.2%";"17.8%"
"marcha_comp_21b";"Considerando los últimos meses, el segundo semestre de 2021  entre agosto y diciembre ,     Participar en una marcha con compañeros de carrera";932;1.2;0.7;"91.2%";"8.8%"
"marcha_pad_21b";"Considerando los últimos meses, el segundo semestre de 2021  entre agosto y diciembre ,     Participar en una marcha con alguno de mis padres";932;1.2;0.6;"93.3%";"6.7%"
"marcha_fam_21b";"Considerando los últimos meses, el segundo semestre de 2021  entre agosto y diciembre ,     Participar en una marcha con otros miembros de mi familia";932;1.2;0.7;"89.6%";"10.4%"
"weight_w03";"Weights  ebalance  w03";932;5.3;2.1;"0%";"0%"
